route_num,video_name,window_idx,window_start_sec,window_end_sec,building_coverage,building_oppression,green_coverage,openness_index,road_coverage,sidewalk_coverage,sky_visibility,wall_fence_coverage
1,CUT 2,26,26.0,29.0,0.1065584008487654,0.0462673445959952,0.047002555941358,0.5504893261316872,0.3588741801697531,0.0145389660493827,0.3994984567901234,0.0074006558641975
1,CUT 2,27,27.0,29.967,0.1047820216049382,0.0448590758848302,0.0470172646604938,0.5518326421039095,0.3590171682098765,0.0145148533950617,0.4015407986111111,0.0075974151234567
1,CUT 2,28,28.0,29.967,0.1031088445216049,0.0446163064922674,0.0475788483796296,0.5531535333076132,0.3643262924382716,0.0147567033179012,0.3974402006172839,0.0094509548611111
1,CUT 2,29,29.0,29.967,0.1037926793981481,0.045283796442894,0.0467028356481481,0.5519302983539094,0.3692701099537037,0.0147989004629629,0.3946703800154321,0.0082477334104938
1,CUT 3,0,0.0,3.0,0.1168959780092592,0.0520013985951189,0.046544174382716,0.5434280960648148,0.3515335648148148,0.0148230131172839,0.4042983217592593,0.0059256847993827
1,CUT 3,1,1.0,4.0,0.1151048900462962,0.0512442990336998,0.0459008487654321,0.5393862525720164,0.3356324749228395,0.0131831114969135,0.407782600308642,0.0034519675925925
1,CUT 3,2,2.0,5.0,0.1102329282407407,0.0493857131246403,0.046045524691358,0.5393721868569958,0.342758487654321,0.015163242669753,0.3793557098765432,0.0032995756172839
1,CUT 3,3,3.0,6.0,0.1089231288580246,0.0482925174181573,0.0446817129629629,0.5461152102623457,0.4242556423611111,0.0167650462962963,0.3261725983796296,0.0039571277006172
1,CUT 3,4,4.0,7.0,0.1059401523919753,0.0482465708113068,0.0429815297067901,0.5479203639403292,0.4367563657407407,0.0166206114969135,0.3138211323302469,0.0046303530092592
1,CUT 3,5,5.0,8.0,0.1050108506944444,0.047468913813538,0.0420457175925925,0.5492376382458847,0.4364836516203704,0.0142469618055555,0.3153496334876543,0.003893711419753
1,CUT 3,6,6.0,9.0,0.1054282407407407,0.048113570431574,0.0420201581790123,0.5480106256430042,0.4281681616512346,0.0139600212191358,0.314750675154321,0.0039115547839506
1,CUT 3,7,7.0,10.0,0.1125238715277777,0.0497294487330313,0.0403383005401234,0.5428986625514404,0.4000081983024691,0.0137953317901234,0.3511091820987654,0.0030591724537037
1,CUT 3,8,8.0,11.0,0.1175470196759259,0.0526033300462546,0.0380598958333333,0.5428986625514404,0.3381464602623457,0.0126396122685185,0.3967638406635803,0.0032392939814814
1,CUT 3,9,9.0,12.0,0.1243559510030864,0.0560271554661217,0.0350752314814814,0.542837979038066,0.3148912519290123,0.0156211419753086,0.4329964795524691,0.0028301022376543
1,CUT 3,10,10.0,13.0,0.1266001157407407,0.057758950748102,0.0333803530092592,0.5424995177469135,0.3224807098765432,0.0170599440586419,0.4240198206018518,0.0026302083333333
1,CUT 3,11,11.0,14.0,0.1482455632716049,0.0654105779141277,0.0361226851851851,0.5263525591563786,0.3290747974537037,0.0172800925925925,0.3992308063271605,0.0028247974537037
1,CUT 3,12,12.0,15.0,0.1769473379629629,0.0784779249649969,0.0365866126543209,0.5059151556069958,0.3527553530092592,0.0189190297067901,0.340831886574074,0.0038753858024691
1,CUT 3,13,13.0,16.0,0.2300028935185185,0.1097794279311592,0.0203653067129629,0.464677935313786,0.3579002700617284,0.0193373842592592,0.2567664930555555,0.0098514660493827
1,CUT 3,14,14.0,17.0,0.2605046778549382,0.1271718819836473,0.0148683449074074,0.434943013760288,0.3545587384259259,0.0229340277777777,0.211476417824074,0.0103937596450617
1,CUT 3,15,15.0,18.0,0.2650320698302469,0.1285344020434609,0.0137278163580246,0.4307962802211934,0.3432486979166667,0.031925636574074,0.2072673128858024,0.0073697916666666
1,CUT 3,16,16.0,19.0,0.250890480324074,0.1220766330549617,0.0164879918981481,0.4352821180555555,0.3535298514660493,0.0342428626543209,0.2181011284722222,0.007346161265432
1,CUT 3,17,17.0,20.0,0.1967259837962963,0.1023645866371131,0.0232843846450617,0.4734526105967078,0.3743062789351852,0.0339973958333333,0.2276622781635802,0.0108024691358024
1,CUT 3,18,18.0,21.0,0.1903614486882716,0.0988389499023427,0.0234893422067901,0.476962689686214,0.3961612654320988,0.034385368441358,0.2338570601851852,0.0108024691358024
1,CUT 3,19,19.0,22.0,0.1996108217592592,0.1021555539342416,0.0221141975308642,0.4745134870113169,0.4058492476851851,0.035577980324074,0.2249734760802469,0.0063025655864197
1,CUT 3,20,20.0,23.0,0.199278549382716,0.1015862802489221,0.0221141975308642,0.4783041570216049,0.4073341049382716,0.0374657600308642,0.2272825038580246,0.0021281828703703
1,CUT 3,21,21.0,24.0,0.1872504340277777,0.0991621088438023,0.027828655478395,0.4896432130915638,0.4146556712962963,0.0390260898919753,0.2389822048611111,0.0014689429012345
1,CUT 3,22,22.0,25.0,0.1837432484567901,0.0974878084114792,0.0304154610339506,0.4940181327160493,0.4130249324845679,0.0389400077160493,0.2536012249228395,0.0012885802469135
1,CUT 3,23,23.0,26.0,0.1835298514660494,0.0987477213255128,0.0304853877314814,0.4923604681069959,0.4086238908179012,0.0365706983024691,0.2536506558641975,0.0012572337962962
1,CUT 3,24,24.0,27.0,0.1856223476080247,0.1004792161113184,0.0307250675154321,0.4874427726337449,0.398277874228395,0.0358928915895061,0.2493887442129629,0.0015174093364197
1,CUT 3,25,25.0,28.0,0.1914742476851851,0.1001219437212446,0.0284126639660493,0.4878881333590534,0.4011906828703704,0.0361200327932098,0.2427628279320987,0.002858555169753
1,CUT 3,26,26.0,29.0,0.1884440104166666,0.0961954584508355,0.0290940875771604,0.4900184863683128,0.4097060667438271,0.0381751543209876,0.2416107253086419,0.005543499228395
1,CUT 3,27,27.0,30.0,0.1800557002314814,0.0919460703777516,0.0319813368055555,0.4961018679269547,0.4090362172067901,0.0385182773919753,0.2566775173611111,0.0074505690586419
1,CUT 3,28,28.0,31.0,0.1653657889660493,0.0865306392412301,0.0391922260802469,0.5008401652520575,0.3748271122685185,0.0373427854938271,0.2758244116512346,0.0054902102623456
1,CUT 3,29,29.0,32.0,0.1649295910493827,0.0862493403692754,0.0451265914351851,0.5005364261831275,0.3768149594907407,0.0338416280864197,0.2758244116512346,0.0049382716049382
