route_num,video_name,window_idx,window_start_sec,window_end_sec,car_count,cyclist_motorcycle_count,dynamic_object_area_ratio,large_vehicle_ratio,person_count,total_object_count,traffic_sign_count,truck_bus_count,car_speed_mean,car_accel_mean,car_jerk_mean,person_speed_mean,cyclist_speed_mean,pedestrian_crossing_count,min_ttc,risk_count
2,CUT 1,24,24.0,27.0,3.0,0.0,0.0075786458121405,0.0,0.0,3.0,0.0,0.0,22.7343917654756,378.8797939798351,7890.20749712564,,,0,6.022937831369991,0
2,CUT 1,25,25.0,28.0,3.0,0.0,0.0073948383331298,0.0,0.0,3.0,0.0,0.0,49.81241147964662,786.1851014510811,17289.586581441392,,,0,10.49080064406002,0
2,CUT 1,26,26.0,29.0,3.0,0.0,0.0059894959131876,0.0,0.0,3.0,0.0,0.0,99.3437667751198,2281.612285553726,46433.272944633805,,,0,1.1821196196705768,1
2,CUT 1,27,27.0,30.0,3.0,0.0,0.0056718018319871,0.0,0.0,3.0,0.0,0.0,86.81404415040859,1775.5763036752992,38746.50202663378,,,0,4.286466636443183,0
2,CUT 1,28,28.0,31.0,3.0,0.0,0.0049990071190728,0.0,0.0,3.0,0.0,0.0,73.42676786615418,1578.4125012580637,34107.15810902486,,,0,,0
2,CUT 1,29,29.0,32.0,3.0,0.0,0.0042787525388929,0.0,0.0,3.0,0.0,0.0,63.15279803602169,1186.655851498822,28269.60065012227,,,0,,0
2,CUT 1,30,30.0,32.067,3.0,0.0,0.0040168523788452,0.0,0.0,3.0,0.0,0.0,81.69634311337641,1445.393760277617,35900.817476148666,,,0,,0
2,CUT 1,31,31.0,32.067,1.0,0.0,0.0025263084305657,0.0,0.0,1.0,0.0,0.0,66.46817342138928,1933.2644901363324,60814.1802394509,,,0,,0
2,CUT 1,32,32.0,32.067,1.0,0.0,0.0023468494415283,0.0,0.0,1.0,0.0,0.0,90.3153247946191,346.5263801085645,,,,0,,0
2,CUT 2,0,0.0,3.0,2.0,0.0,0.0046233365270826,0.0,0.0,2.0,0.0,0.0,31.09289274024035,817.8708307617499,20619.23269341812,,,0,,0
2,CUT 2,1,1.0,4.0,2.0,0.0,0.0029524184597863,0.0,0.0,2.0,0.0,0.0,20.474679134890604,568.5136611998173,13510.582991498695,,,0,,0
2,CUT 2,2,2.0,5.0,2.0,0.0,0.0021112909581926,0.0,0.0,2.0,0.0,0.0,14.479810573974133,396.959775257877,9185.775435415726,,,0,,0
2,CUT 2,3,3.0,6.0,2.0,0.0,0.0015778374671936,0.0,0.0,2.0,0.0,0.0,10.80330517688984,321.9212242833962,6888.475871419692,,,0,,0
2,CUT 2,4,4.0,7.0,2.0,0.0,0.0013655424118041,0.0,0.0,2.0,0.0,0.0,11.131019470341933,300.6146718073125,8757.610267408903,,,0,,0
