route_num,video_name,window_idx,window_start_sec,window_end_sec,drivable_occupancy_ratio,vru_drivable_intrusion_rate,interaction_risk_integral_itcc,enclosure_crowding_stress,green_buffer_under_congestion,exposed_vru_conflict_index,semantic_monotony_fatigue
2,CUT 1,25,25.0,28.0,0.5554753082628262,0.0,0.0,0.13492581417154914,0.5515446092363114,0.0,24.505149665733363
2,CUT 1,26,26.0,29.0,0.612513033135324,0.0,0.845938078820375,0.14750783629927253,0.6057830993532838,0.0,34.78730687269435
2,CUT 1,27,27.0,30.0,1.1260708428077242,0.0,0.0,0.22602861528632975,1.1061086223277208,0.0,10.891889047540893
2,CUT 1,28,28.0,31.0,0.4449174159790379,0.0,0.0,0.0662687873204478,0.43089377930578804,0.0,7.6427149133921555
2,CUT 1,29,29.0,32.0,0.17572692142755575,0.0,0.0,0.014839221373635369,0.16821695991784905,0.0,3.7845652400357044
2,CUT 1,30,30.0,32.067,0.1563915091647186,0.0,0.0,0.010009460290251298,0.1482851480614215,0.0,7.051455492948247
2,CUT 1,31,31.0,32.067,0.09051249643467207,0.0,0.0,0.005287185857700556,0.08424959345600172,0.0,13.053653962500114
2,CUT 1,32,32.0,32.067,0.13064733845145393,0.0,0.0,0.006059992902301424,0.12304850025373987,0.0,10.301704738977334
2,CUT 2,0,0.0,3.0,0.27160174891231764,0.0,0.0,0.02112235790933296,0.26189455033750386,0.0,22.7550377520298
2,CUT 2,1,1.0,4.0,0.1524177012148129,0.0,0.0,0.010853964918897615,0.1466877317213895,0.0,22.7550377520298
2,CUT 2,2,2.0,5.0,0.1050123579275281,0.0,0.0,0.007280187237790508,0.10089812050599029,0.0,79.84113831285106
2,CUT 2,3,3.0,6.0,0.07729448092557978,0.0,0.0,0.005259009184401943,0.0742260594499908,0.0,188.87484533003146
2,CUT 2,4,4.0,7.0,0.06644960644003425,0.0,0.0,0.00454085457617477,0.0637801218436447,0.0,363.9204467376402
2,CUT 2,5,5.0,8.0,0.06021237470003232,0.0,0.0,0.003860135156277622,0.05759928438719038,0.0,42.32003112873399
2,CUT 2,6,6.0,9.0,0.05987904627079379,0.0,0.0,0.0030086900194785074,0.05712767036703276,0.0,9.564191904613907
2,CUT 2,7,7.0,10.0,0.05800552935453355,0.0,0.0,0.0029679407043577224,0.05545387769919268,0.0,15.635995756130143
2,CUT 2,8,8.0,11.0,0.06028641774261776,0.0,0.8361632336918007,0.002123753847432532,0.05760028365867124,0.0,22.40105384513305
2,CUT 2,9,9.0,12.0,0.07258345699189975,0.0,0.0,0.0024064631210941423,0.06847551370496345,0.0,15.802625861433444
2,CUT 2,10,10.0,13.0,0.07555395724092831,0.0,0.0,0.0017835573970464873,0.07064340091736522,0.0,15.352599637572037
2,CUT 2,11,11.0,14.0,0.09639100093706582,0.0,0.0,0.002639454227369731,0.09024806185499477,0.0,8.087018168770976
2,CUT 2,12,12.0,15.0,0.22082763761424787,0.0,0.0,0.006120467555036069,0.2126704812912207,0.0,30.923142783424364
2,CUT 2,13,13.0,16.0,0.2975402383717293,0.0,0.0,0.010249153117906236,0.2887330021166712,0.0,27.58792321418849
2,CUT 2,14,14.0,17.0,0.3622823687186463,0.0,0.0,0.011408741512348426,0.3504954159356122,0.0,15.682691877428825
2,CUT 2,15,15.0,18.0,0.5762301567184498,0.0,0.0,0.022356105996242277,0.5583295694009901,0.0,26.040576462411266
2,CUT 2,16,16.0,19.0,0.8317139925383231,0.0,0.35379874204920553,0.042972877473113,0.8130861621129939,0.0,10.574819755088823
2,CUT 2,17,17.0,20.0,0.24798322301882028,0.0,0.46259134352856174,0.018072412206814895,0.24470314978900323,0.0,8.93106148526482
2,CUT 2,18,18.0,21.0,0.18399660327596412,0.0,0.0,0.013563458280050435,0.1814147412169746,0.0,100.62869348578555
